染色		{'dyeing':1.0}	{'dyeing': 3684}	dyeing
棉织物	{'棉织物':0.99504,'纯棉织物':0.00406,'棉布':0.0009}	{'cotton fabric':0.91691,'cotton fabrics':0.08309}	{'cotton fabrics': 3163, 'cotton fabric': 1449}	cotton fabric
纺织品	{'纺织品':0.88101,'纺织':0.08738,'织物':0.02895,'面料':0.00266}	{'textiles':0.64131,'textile':0.34465,'fabric':0.01404}	{'textiles': 5576, 'fabric': 1982, 'textile': 666}	textiles
服装设计	{'服装设计':0.88333,'服饰设计':0.07712,'时装设计':0.02106,'时尚设计':0.0076,'服装设计专业':0.00409,'成衣设计':0.00292,'服装与服饰设计':0.00234,'服饰图案':0.00154}	{'clothing design':0.43287,'fashion design':0.37141,'costume design':0.10421,'garment design':0.0501,'apparel design':0.02872,'costume designing':0.01269}	{'fashion design': 118, 'clothing design': 63, 'garment design': 57, 'apparel design': 57, 'costume design': 8, 'costume designing': 0}	apparel design;clothing design;costume design;garment design
活性染料		{'reactive dyes':0.58392,'reactive dye':0.41608}	{'reactive dyes': 703, 'reactive dye': 575}	reactive dye
织物	{'织物':0.74563,'面料':0.18598,'纺织品':0.05683,'纺织':0.01156}	{'fabric':0.87668,'fabrics':0.07772,'textile':0.0456}	{'fabric': 1982, 'fabrics': 1916, 'textile': 666}	fabric
服装	{'服装':0.77058,'服饰':0.15492,'针布':0.03116,'时尚':0.02089,'时装':0.00371,'成衣':0.00327,'连衣裙':0.00267,'流行':0.00254,'服装服饰':0.00191,'礼服':0.00182,'时尚性':0.00137,'面料':0.00127,'时尚化':0.00117,'服饰时尚':0.00098,'风尚':0.00059,'戏衣':0.00052,'服饰设计':0.00039,'裙装':0.00024}	{'clothing':0.48341,'garment':0.23009,'apparel':0.09071,'garments':0.08739,'fashion':0.03982,'costume':0.0365,'clothes':0.02102,'dress':0.01106}	{'clothing': 726, 'clothes': 504, 'fashion': 432, 'garment': 358, 'garments': 217, 'apparel': 179, 'dress': 154, 'costume': 47}	apparel;clothing;costume;garment
力学性能	{'力学性能':0.93063,'机械性能':0.06241,'拉伸性能':0.00634,'强伸性能':0.00026,'强伸性':0.00016,'拉伸性':0.00013,'拉伸性质':7e-05}	{'mechanical property':0.62888,'mechanical properties':0.33174,'mechanical performance':0.02387,'tensile property':0.00716,'mechanic property':0.00477,'mechanical behavior':0.00358}	{'mechanical properties': 6928, 'mechanical property': 1573, 'mechanical performance': 843, 'tensile property': 600, 'mechanical behavior': 350, 'mechanic property': 0}	mechanical property
羊毛	{'羊毛':0.94886,'羊毛纤维':0.03514,'绵羊毛':0.01317,'毛纤维':0.00283}	{'wool':0.97528,'wool fiber':0.02472}	{'wool': 5349, 'wool fiber': 310}	wool
涤纶	{'涤纶':0.67706,'聚酯':0.1084,'聚酯纤维':0.07275,'聚对苯二甲酸乙二酯纤维':0.06757,'涤纶织物':0.03222,'涤纶纤维':0.02314,'PET':0.01402,'聚酯织物':0.00197,'聚对苯二甲酸乙二醇酯':0.00156,'聚对苯二甲酸乙二酯':0.00078,'涤纶面料':0.00053}	{'polyester':0.69732,'polyester fiber':0.16475,'polyester fibre':0.04342,'polyester fabric':0.03193,'pet':0.03193,'terylene':0.0166,'polyester fibers':0.00766,'polyester fabrics':0.00639}	{'polyester': 1297, 'polyester fabric': 535, 'polyester fiber': 275, 'polyester fibre': 162, 'pet': 149, 'polyester fabrics': 96, 'polyester fibers': 76, 'terylene': 0}	polyester
针织物	{'针织物':0.75895,'针织面料':0.21858,'针织布':0.00929,'针织服装':0.0045,'针织':0.00447,'针织品':0.00135,'针织衫':0.00113,'编织':0.00054,'针织女装':0.00045,'毛衫':0.00045,'织造':0.00017,'编结':6e-05,'针织学':6e-05}	{'knitted fabric':0.52568,'knitgoods':0.29054,'knitted goods':0.05946,'knitted fabrics':0.05405,'knitting fabric':0.02297,'knit goods':0.01892,'knit fabric':0.01351,'knitwear':0.00946,'knitting':0.00541}	{'knitted fabric': 1144, 'knit fabric': 351, 'knitting': 317, 'knitted fabrics': 164, 'knitwear': 72, 'knitting fabric': 15, 'knitted goods': 4, 'knitgoods': 0, 'knit goods': 0}	knitted fabric
静电纺丝	{'静电纺丝':0.88926,'静电纺':0.11074}	{'electrospinning':0.81211,'electrostatic spinning':0.14596,'electro-spinning':0.02174,'electrospun':0.02019}	{'electrospinning': 3574, 'electrospun': 84, 'electrostatic spinning': 56, 'electro-spinning': 17}	electrospinning
改性	{'改性':0.95049,'改造':0.03001,'改进':0.0105,'改性处理':0.009}	{'modification':0.90635,'modified':0.06508,'modify':0.02857}	{'modification': 501, 'modified': 18, 'modify': 6}	modification
非织造布	{'非织造布':0.81082,'非织造材料':0.0939,'非织造':0.03863,'无纺布':0.03566,'非织造织物':0.01785,'非织造物':0.00194,'不织布':0.0012}	{'nonwovens':0.61842,'nonwoven':0.16283,'nonwoven fabric':0.10033,'non-woven fabric':0.08717,'non-woven':0.01316,'nonwovens ':0.00987,'non-woven fabrics':0.00822}	{'non-woven': 677, 'nonwovens': 590, 'nonwoven fabric': 384, 'nonwoven': 323, 'non-woven fabric': 40, 'non-woven fabrics': 13, 'nonwovens ': 0}	nonwovens
染整	{'染整':0.93403,'染整加工':0.04296,'染整工艺':0.02301}	{'dyeing and finishing':0.9852,'dyeing & finishing':0.0148}	{'dyeing and finishing': 7, 'dyeing & finishing': 0}	dyeing and finishing
棉纤维	{'棉纤维':0.9605,'棉':0.03248,'棉花':0.00397,'棉织物':0.00224,'纯棉':0.00081}	{'cotton fiber':0.8867,'cotton fibre':0.04926,'cotton':0.04105,'cotton fibers':0.02299}	{'cotton': 6599, 'cotton fibers': 1028, 'cotton fiber': 555, 'cotton fibre': 44}	cotton fibre
分散染料		{'disperse dyes':0.53469,'disperse dye':0.46531}	{'disperse dyes': 413, 'disperse dye': 360}	disperse dyes
复合材料	{'复合材料':0.93921,'复合':0.05723,'复合织物':0.00356}	{'composite material':0.41621,'composite':0.28177,'composites':0.17864,'composite materials':0.10681,'compound material':0.01657}	{'composite materials': 3204, 'composites': 2713, 'composite': 1868, 'composite material': 499, 'compound material': 3}	composite materials;composites
混纺纱	{'混纺纱':0.91521,'混纺纱线':0.0657,'混纺':0.01909}	{'blended yarn':0.93738,'blending yarn':0.03795,'blended yarns':0.01328,'blend yarn':0.01139}	{'blended yarn': 200, 'blended yarns': 135, 'blend yarn': 10, 'blending yarn': 6}	blended yarn
棉	{'棉':0.79123,'棉花':0.09682,'棉织物':0.05446,'棉纤维':0.03782,'纯棉':0.01967}	{'cotton':1.0}	{'cotton': 6599}	cotton
色牢度	{'色牢度':0.67745,'染色牢度':0.29513,'牢度':0.02742}	{'color fastness':0.85804,'colour fastness':0.07724,'fastness':0.04593,'colorfastness':0.01879}	{'color fastness': 1094, 'colorfastness': 304, 'fastness': 158, 'colour fastness': 60}	color fastness
壳聚糖		{'chitosan':1.0}	{'chitosan': 6210}	chitosan
染色性能	{'染色性能':0.94988,'染色性':0.02931,'染色':0.01131,'可染性':0.00679,'上染率':0.00271}	{'dyeing property':0.49548,'dyeing properties':0.181,'dyeing performance':0.16063,'dyeing behavior':0.04977,'dyeability':0.04072,'dyeing behaviour':0.02036,'dyeing':0.01131,'dying performance':0.00905,'dyeing ability':0.00905,'dyeing performances':0.00905,'dye property':0.00452,'dyeing propertiy':0.00452,'dye ability':0.00452}	{'dyeing': 3684, 'dye property': 321, 'dyeing properties': 308, 'dyeability': 231, 'dyeing performance': 92, 'dyeing property': 47, 'dyeing behavior': 40, 'dyeing ability': 11, 'dyeing performances': 3, 'dyeing behaviour': 0, 'dying performance': 0, 'dyeing propertiy': 0, 'dye ability': 0}	dyeing property
纺纱	{'纺纱':0.82646,'纺丝':0.08247,'细纱':0.0751,'细纱机':0.00937,'纺纱工艺':0.00404,'纺丝工艺':0.00122,'细纱工序':0.00039,'纺纱过程':0.0003,'细纱工艺':0.00022,'纺纱工序':0.00017,'纺纱流程':0.00017,'纺丝过程':9e-05}	{'spinning':0.9222,'yarn spinning':0.06407,'spining':0.00686,'spinning process':0.00686}	{'spinning': 855, 'spinning process': 139, 'yarn spinning': 46, 'spining': 0}	spinning;yarn manufacturing
前处理	{'前处理':0.67647,'预处理':0.32353}	{'pretreatment':0.94778,'pre-treatment':0.05222}	{'pretreatment': 858, 'pre-treatment': 695}	pretreatment
毛羽	{'毛羽':0.99494,'纱线毛羽':0.00416,'成纱毛羽':0.0009}	{'hairiness':0.92876,'hairness':0.02375,'fuzzy yarns':0.02111,'fuzzy yarn':0.01319,'filoplume':0.00792,'yarn hairiness':0.00528}	{'hairiness': 268, 'yarn hairiness': 159, 'hairness': 0, 'fuzzy yarns': 0, 'fuzzy yarn': 0, 'filoplume': 0}	hairiness
服饰	{'服饰':0.48604,'服装':0.40413,'连衣裙':0.02782,'针布':0.02278,'礼服':0.01897,'时尚':0.00862,'敷料':0.00759,'传统服饰':0.00504,'戏衣':0.00412,'裙装':0.00253,'器材':0.0025,'面料':0.00199,'时装':0.00153,'流行':0.00105,'辅料':0.00095,'配饰':0.00083,'服装服饰':0.00063,'时尚性':0.00056,'时尚化':0.00048,'服饰时尚':0.0004,'风尚':0.00024,'服饰品':0.00024,'饰品':0.00024,'佩饰':0.00024,'配饰品':0.00024,'服饰设计':0.00016,'成衣':8e-05}	{'clothing':0.35342,'costume':0.29041,'dress':0.11507,'costumes':0.07123,'clothes':0.03288,'apparel':0.03014,'clothes & accessories':0.02192,'fashion':0.01644,'dress and personal adornment':0.01096,'dressing':0.01096,'finery':0.00822,'clothes and accessories':0.00548,'traditional costumes':0.00548,'raiment':0.00548,'the dress':0.00548,'accessories':0.00548,'garments':0.00548,'garment':0.00548}	{'clothing': 726, 'clothes': 504, 'fashion': 432, 'garment': 358, 'garments': 217, 'apparel': 179, 'dress': 154, 'costume': 47, 'dressing': 47, 'accessories': 24, 'costumes': 0, 'clothes & accessories': 0, 'dress and personal adornment': 0, 'finery': 0, 'clothes and accessories': 0, 'traditional costumes': 0, 'raiment': 0, 'the dress': 0}	apparel;apparel and accessories;costume
